id_transcript;blocks
transcript_4-17_ppan;0|1|2|3|4|5|6|7|8|11|13|14|15
transcript_5-17_ptro;0|1|2|3|4|5|6|7|8|11|13|14|15
transcript_4-28_ppan;0|1|2|3|4|5|6|7|8|11|13|15
transcript_5-28_ptro;0|1|2|3|4|5|6|7|8|11|13|15
transcript_4-12_ppan;0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
transcript_5-12_ptro;0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
transcript_4-16_ppan;0|1|2|4|6|8|10|11|12|13|14|15
transcript_5-16_ptro;0|1|2|4|6|8|10|11|12|13|14|15
transcript_5-23_ptro;0|2|4|6|8|10|11|12|13|14|15
transcript_4-23_ppan;0|2|4|6|8|10|11|12|13|14|15
