GeneID	TranscriptID	ProteinID	Strand	ExonID	ExonRegionStart	ExonRegionEnd	ExonRank	cDNA_CodingStart	cDNA_CodingEnd	GenomicCodingStart	GenomicCodingEnd	StartPhase	EndPhase
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00003813268	86359658	86360060	1					-1	-1
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00001352600	86354530	86354644	2					-1	-1
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00003470811	86194336	86194407	3	525	590	86194336	86194401	-1	0
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00003615544	86159298	86159467	4	591	760	86159298	86159467	0	2
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00003786679	86107223	86107352	5	761	890	86107223	86107352	2	0
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00003518397	86103186	86103244	6	891	949	86103186	86103244	0	2
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00003523984	86101894	86102032	7	950	1088	86101894	86102032	2	0
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00003598073	86101052	86101217	8	1089	1254	86101052	86101217	0	1
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00002433828	86098524	86098595	9	1255	1326	86098524	86098595	1	1
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00003562222	86067773	86067955	10	1327	1509	86067773	86067955	1	1
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00003535929	86064266	86064390	11	1510	1634	86064266	86064390	1	0
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00003648739	86031368	86031431	12	1635	1698	86031368	86031431	0	1
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00003503801	86029197	86029274	13	1699	1776	86029197	86029274	1	1
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00003812373	86017232	86017370	14	1777	1915	86017232	86017370	1	2
ENSG00000109339	ENST00000641010	ENSP00000493178	-1	ENSE00003811616	85990007	85992163	15	1916	1946	85992133	85992163	2	-1
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00001352600	86354530	86354644	2					-1	-1
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00003786679	86107223	86107352	5	779	908	86107223	86107352	2	0
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00003518397	86103186	86103244	6	909	967	86103186	86103244	0	2
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00003523984	86101894	86102032	7	968	1106	86101894	86102032	2	0
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00003598073	86101052	86101217	8	1107	1272	86101052	86101217	0	1
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00002433828	86098524	86098595	9	1273	1344	86098524	86098595	1	1
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00003562222	86067773	86067955	10	1345	1527	86067773	86067955	1	1
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00003535929	86064266	86064390	11	1528	1652	86064266	86064390	1	0
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00003648739	86031368	86031431	12	1653	1716	86031368	86031431	0	1
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00003503801	86029197	86029274	13	1717	1794	86029197	86029274	1	1
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00003812373	86017232	86017370	14	1795	1933	86017232	86017370	1	2
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00003812033	86359658	86360051	1					-1	-1
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00001520792	86194309	86194407	3					-1	-1
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00003606869	86159298	86159467	4	657	778	86159298	86159419	-1	2
ENSG00000109339	ENST00000641324	ENSP00000492888	-1	ENSE00003812700	85990138	85992163	15	1934	1964	85992133	85992163	2	-1
ENSG00000109339	ENST00000641372		-1	ENSE00003812339	86003571	86003704	1					-1	-1
ENSG00000109339	ENST00000641372		-1	ENSE00003812239	86001437	86001477	2					-1	-1
ENSG00000109339	ENST00000641372		-1	ENSE00003811726	85991108	85992163	3					-1	-1
ENSG00000109339	ENST00000641102	ENSP00000493048	-1	ENSE00001352600	86354530	86354644	2					-1	-1
