transcripts;transcript_7-38_ENSMUSG00000036980;transcript_8-38_ENSRNOG00000001355;transcript_10-38_ENSG00000106290;transcript_12-38_ENSDARG00000102998;transcript_11-38_ENSPTRG00000019474;transcript_7-43_ENSMUSG00000036980;transcript_12-43_ENSDARG00000102998;transcript_10-43_ENSG00000106290;transcript_11-43_ENSPTRG00000019474;transcript_8-43_ENSRNOG00000001355;transcript_8-68_ENSRNOG00000001355;transcript_7-59_ENSMUSG00000036980;transcript_8-59_ENSRNOG00000001355
transcript_7-38_ENSMUSG00000036980;1.0;1.0;1.0;1.0;1.0;0.996;0.996;0.996;0.996;0.996;0.996;0.993;0.993
transcript_8-38_ENSRNOG00000001355;1.0;1.0;1.0;1.0;1.0;0.996;0.996;0.996;0.996;0.996;0.996;0.993;0.993
transcript_10-38_ENSG00000106290;1.0;1.0;1.0;1.0;1.0;0.996;0.996;0.996;0.996;0.996;0.996;0.993;0.993
transcript_12-38_ENSDARG00000102998;1.0;1.0;1.0;1.0;1.0;0.996;0.996;0.996;0.996;0.996;0.996;0.993;0.993
transcript_11-38_ENSPTRG00000019474;1.0;1.0;1.0;1.0;1.0;0.996;0.996;0.996;0.996;0.996;0.996;0.993;0.993
transcript_7-43_ENSMUSG00000036980;0.996;0.996;0.996;0.996;0.996;1.0;1.0;1.0;1.0;1.0;0.993;0.996;0.996
transcript_12-43_ENSDARG00000102998;0.996;0.996;0.996;0.996;0.996;1.0;1.0;1.0;1.0;1.0;0.993;0.996;0.996
transcript_10-43_ENSG00000106290;0.996;0.996;0.996;0.996;0.996;1.0;1.0;1.0;1.0;1.0;0.993;0.996;0.996
transcript_11-43_ENSPTRG00000019474;0.996;0.996;0.996;0.996;0.996;1.0;1.0;1.0;1.0;1.0;0.993;0.996;0.996
transcript_8-43_ENSRNOG00000001355;0.996;0.996;0.996;0.996;0.996;1.0;1.0;1.0;1.0;1.0;0.993;0.996;0.996
transcript_8-68_ENSRNOG00000001355;0.996;0.996;0.996;0.996;0.996;0.993;0.993;0.993;0.993;0.993;1.0;0.996;0.996
transcript_7-59_ENSMUSG00000036980;0.993;0.993;0.993;0.993;0.993;0.996;0.996;0.996;0.996;0.996;0.996;1.0;1.0
transcript_8-59_ENSRNOG00000001355;0.993;0.993;0.993;0.993;0.993;0.996;0.996;0.996;0.996;0.996;0.996;1.0;1.0
