Gene-family;#genes;#transcripts;#orthologs-groups;#ortho-orthologs;#ortho-orthologs;#recent paralogs;#paralogs
1;6;18;2;52;13;16;72
2;6;12;3;17;13;1;35
3;6;19;3;75;15;6;75
4;5;6;1;6;8;1;0
5;7;9;1;29;5;2;0
6;6;16;2;42;10;5;63
7;6;20;3;40;15;2;133
8;6;7;1;12;8;1;0
9;5;5;1;5;5;0;0
10;6;13;2;25;10;1;42
11;5;12;4;33;0;0;33
12;5;13;3;13;18;1;46
13;5;8;3;19;0;0;9
14;3;4;1;5;0;1;0
15;2;8;4;4;0;0;24
16;5;8;2;19;0;0;9
17;5;17;7;49;0;0;87
18;5;9;3;24;0;0;12
19;2;6;3;3;0;0;12
20;4;30;7;34;14;3;384
21;4;4;1;4;2;0;0
22;5;10;3;32;0;1;12
23;4;7;2;16;0;1;4
24;5;7;2;17;0;0;4
25;5;26;8;186;0;13;126
26;3;26;11;33;0;0;292
27;3;22;9;24;0;3;204
28;2;6;3;3;0;0;12
29;2;10;5;5;0;0;40
30;5;7;2;17;0;0;4
31;5;17;6;74;0;2;60
32;4;17;6;40;0;1;95
33;2;6;3;3;0;0;12
34;2;4;2;2;0;0;4
35;5;7;2;17;0;0;4
36;4;10;4;21;0;0;24
37;4;20;8;43;0;0;147
38;2;10;5;5;0;0;40
39;2;6;3;3;0;0;12
40;5;38;16;121;0;0;582
41;5;7;2;17;0;0;4
42;5;10;2;36;0;6;3
43;4;4;1;4;2;0;0
44;3;7;3;9;0;0;12
45;2;6;3;3;0;0;12
46;2;8;4;4;0;0;24
47;5;8;2;23;0;1;4
48;5;22;7;116;0;6;109
49;3;17;7;23;0;1;112
50;3;3;1;3;0;0;0
Total;210;592;189;1410;138;75;2994
