;transcript_3-4_FBgn0010417;transcript_7-4_ENSMUSG00000036980;transcript_8-4_ENSRNOG00000001355;transcript_12-4_ENSDARG00000102998;transcript_10-4_ENSG00000106290;transcript_11-4_ENSPTRG00000019474;transcript_3-43_FBgn0010417;transcript_3-27_FBgn0010417;transcript_12-27_ENSDARG00000102998;transcript_10-27_ENSG00000106290;transcript_8-27_ENSRNOG00000001355;transcript_11-27_ENSPTRG00000019474;transcript_7-27_ENSMUSG00000036980
transcript_3-4_FBgn0010417;1.0;1.0;1.0;1.0;1.0;1.0;0.979;0.977;0.977;0.977;0.977;0.977;0.977
transcript_7-4_ENSMUSG00000036980;1.0;1.0;1.0;1.0;1.0;1.0;0.979;0.977;0.977;0.977;0.977;0.977;0.977
transcript_8-4_ENSRNOG00000001355;1.0;1.0;1.0;1.0;1.0;1.0;0.979;0.977;0.977;0.977;0.977;0.977;0.977
transcript_12-4_ENSDARG00000102998;1.0;1.0;1.0;1.0;1.0;1.0;0.979;0.977;0.977;0.977;0.977;0.977;0.977
transcript_10-4_ENSG00000106290;1.0;1.0;1.0;1.0;1.0;1.0;0.979;0.977;0.977;0.977;0.977;0.977;0.977
transcript_11-4_ENSPTRG00000019474;1.0;1.0;1.0;1.0;1.0;1.0;0.979;0.977;0.977;0.977;0.977;0.977;0.977
transcript_3-43_FBgn0010417;0.979;0.979;0.979;0.979;0.979;0.979;1.0;0.955;0.955;0.955;0.955;0.955;0.955
transcript_3-27_FBgn0010417;0.977;0.977;0.977;0.977;0.977;0.977;0.955;1.0;1.0;1.0;1.0;1.0;1.0
transcript_12-27_ENSDARG00000102998;0.977;0.977;0.977;0.977;0.977;0.977;0.955;1.0;1.0;1.0;1.0;1.0;1.0
transcript_10-27_ENSG00000106290;0.977;0.977;0.977;0.977;0.977;0.977;0.955;1.0;1.0;1.0;1.0;1.0;1.0
transcript_8-27_ENSRNOG00000001355;0.977;0.977;0.977;0.977;0.977;0.977;0.955;1.0;1.0;1.0;1.0;1.0;1.0
transcript_11-27_ENSPTRG00000019474;0.977;0.977;0.977;0.977;0.977;0.977;0.955;1.0;1.0;1.0;1.0;1.0;1.0
transcript_7-27_ENSMUSG00000036980;0.977;0.977;0.977;0.977;0.977;0.977;0.955;1.0;1.0;1.0;1.0;1.0;1.0
