species;clusters;transcripts;Ids
drosophila_melanogaster;3#0;FBtr0074941;d1
danio rerio;5#0;ENSDART00000161751;z2
;5#1;ENSDART00000184967;z1
;5#2;ENSDART00000163256;z3
mus musculus;6#0;ENSMUST00000048698;m1
;6#0;ENSMUST00000110936;m²
homo sapiens;7#0;ENST00000687216;h1
;;ENST00000688086;h2
;;ENST00000689284;h3
;7#1;ENST00000686172;h8
;7#1;ENST00000687672;h7
;7#1;ENST00000687151;h9
;7#2;ENST00000690962;h12
;7#3;ENST00000440225;h14
;7#4;ENST00000493322;h13
;7#5;ENST00000472509;h4
;7#5;ENST00000344095;h6
;7#5;ENST00000452041;h11
;7#5;ENST00000453269;h5
;7#6;ENST00000690206;h10
