id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
ENSMUST00000112846_ENSMUSG00000046709;null;ENST00000641170_ENSG00000109339|0.991&ENST00000641050_ENSG00000109339|0.991;null;0
ENST00000641170_ENSG00000109339;ENST00000641050_ENSG00000109339|1.0;ENSMUST00000112846_ENSMUSG00000046709|0.991&ENSXETT00000090005_ENSXETG00000006199|0.957;ENSDART00000162834_ENSDARG00000102730|0.981;0
ENSXETT00000090005_ENSXETG00000006199;null;ENST00000641170_ENSG00000109339|0.957&ENST00000641050_ENSG00000109339|0.957;ENSDART00000162834_ENSDARG00000102730|0.975;0
ENST00000641050_ENSG00000109339;ENST00000641170_ENSG00000109339|1.0;ENSMUST00000112846_ENSMUSG00000046709|0.991&ENSXETT00000090005_ENSXETG00000006199|0.957;ENSDART00000162834_ENSDARG00000102730|0.981;0
ENSDART00000162834_ENSDARG00000102730;ENSDART00000161289_ENSDARG00000102730|0.993;null;ENST00000641170_ENSG00000109339|0.981&ENSXETT00000090005_ENSXETG00000006199|0.975&ENST00000641050_ENSG00000109339|0.981;0
ENSDART00000161289_ENSDARG00000102730;ENSDART00000162834_ENSDARG00000102730|0.993;null;null;0
ENSTRUT00000060459_ENSTRUG00000013056;null;null;ENSDART00000160711_ENSDARG00000102730|0.996;1
ENSDART00000160711_ENSDARG00000102730;null;null;ENSTRUT00000060459_ENSTRUG00000013056|0.996;1
ENSMUST00000128869_ENSMUSG00000046709;null;null;null;2
ENST00000641102_ENSG00000109339;null;null;ENSTRUT00000090372_ENSTRUG00000013056|0.916;3
ENSTRUT00000090372_ENSTRUG00000013056;null;null;ENST00000641102_ENSG00000109339|0.916;3
ENST00000641777_ENSG00000109339;null;null;null;4
ENST00000641718_ENSG00000109339;ENST00000641553_ENSG00000109339|1.0;ENSMUST00000086854_ENSMUSG00000046709|1.0&ENSMUST00000112847_ENSMUSG00000046709|1.0;ENSTRUT00000064587_ENSTRUG00000013056|1.0;5
ENST00000641553_ENSG00000109339;ENST00000641718_ENSG00000109339|1.0;ENSMUST00000086854_ENSMUSG00000046709|1.0&ENSMUST00000112847_ENSMUSG00000046709|1.0;ENSTRUT00000064587_ENSTRUG00000013056|1.0;5
ENSTRUT00000064587_ENSTRUG00000013056;null;null;ENST00000641718_ENSG00000109339|1.0&ENST00000641553_ENSG00000109339|1.0&ENSMUST00000086854_ENSMUSG00000046709|1.0&ENSMUST00000112847_ENSMUSG00000046709|1.0&ENSMUST00000170792_ENSMUSG00000046709|1.0;5
ENSMUST00000086854_ENSMUSG00000046709;ENSMUST00000112847_ENSMUSG00000046709|1.0&ENSMUST00000170792_ENSMUSG00000046709|1.0;ENST00000641718_ENSG00000109339|1.0&ENST00000641553_ENSG00000109339|1.0;ENSTRUT00000064587_ENSTRUG00000013056|1.0;5
ENSMUST00000112847_ENSMUSG00000046709;ENSMUST00000086854_ENSMUSG00000046709|1.0&ENSMUST00000170792_ENSMUSG00000046709|1.0;ENST00000641718_ENSG00000109339|1.0&ENST00000641553_ENSG00000109339|1.0;ENSTRUT00000064587_ENSTRUG00000013056|1.0;5
ENSMUST00000170792_ENSMUSG00000046709;ENSMUST00000086854_ENSMUSG00000046709|1.0&ENSMUST00000112847_ENSMUSG00000046709|1.0;null;ENSTRUT00000064587_ENSTRUG00000013056|1.0;5
ENSXETT00000091467_ENSXETG00000006199;null;null;ENSTRUT00000086504_ENSTRUG00000013056|0.837;6
ENSTRUT00000086504_ENSTRUG00000013056;null;null;ENSXETT00000091467_ENSXETG00000006199|0.837&ENST00000641903_ENSG00000109339|0.964;6
ENST00000641903_ENSG00000109339;null;null;ENSTRUT00000086504_ENSTRUG00000013056|0.964;6
ENSXETT00000086349_ENSXETG00000006199;null;null;null;7
