id_transcript;blocks
transcript_4-7_ppan;0|1|2|3
transcript_4-10_ppan;0|1|3
transcript_4-11_ppan;0|3
transcript_4-18_ppan;0|1|3
transcript_4-22_ppan;0|3
transcript_4-25_ppan;0|3
transcript_4-27_ppan;0|2|3
transcript_4-29_ppan;0|3
transcript_5-7_ptro;0|1|2|3
transcript_5-10_ptro;0|1|3
transcript_5-11_ptro;0|3
transcript_5-18_ptro;0|1|3
transcript_5-22_ptro;0|3
transcript_5-25_ptro;0|3
transcript_5-27_ptro;0|2|3
transcript_5-29_ptro;0|3
transcript_6-7_hsap;0|1|2|3
transcript_6-10_hsap;0|1|3
transcript_6-11_hsap;0|3
transcript_7-7_ggor;0|1|2|3
