;transcript_4-9_ppan;transcript_5-9_ptro;transcript_6-9_hsap;transcript_4-21_ppan;transcript_5-21_ptro;transcript_8-2_pabe;transcript_7-2_ggor;transcript_6-2_hsap;transcript_4-17_ppan;transcript_5-17_ptro;transcript_4-22_ppan;transcript_5-22_ptro;transcript_4-10_ppan;transcript_5-10_ptro;transcript_6-10_hsap;transcript_4-18_ppan;transcript_5-18_ptro
transcript_4-9_ppan;1.0;1.0;1.0;0.987;0.987;0.909;0.909;0.909;0.986;0.986;0.974;0.974;0.562;0.562;0.562;0.549;0.549
transcript_5-9_ptro;1.0;1.0;1.0;0.987;0.987;0.909;0.909;0.909;0.986;0.986;0.974;0.974;0.562;0.562;0.562;0.549;0.549
transcript_6-9_hsap;1.0;1.0;1.0;0.987;0.987;0.909;0.909;0.909;0.986;0.986;0.974;0.974;0.562;0.562;0.562;0.549;0.549
transcript_4-21_ppan;0.987;0.987;0.987;1.0;1.0;0.897;0.897;0.897;0.974;0.974;0.961;0.961;0.569;0.569;0.569;0.556;0.556
transcript_5-21_ptro;0.987;0.987;0.987;1.0;1.0;0.897;0.897;0.897;0.974;0.974;0.961;0.961;0.569;0.569;0.569;0.556;0.556
transcript_8-2_pabe;0.909;0.909;0.909;0.897;0.897;1.0;1.0;1.0;0.896;0.896;0.885;0.885;0.57;0.57;0.57;0.558;0.558
transcript_7-2_ggor;0.909;0.909;0.909;0.897;0.897;1.0;1.0;1.0;0.896;0.896;0.885;0.885;0.57;0.57;0.57;0.558;0.558
transcript_6-2_hsap;0.909;0.909;0.909;0.897;0.897;1.0;1.0;1.0;0.896;0.896;0.885;0.885;0.57;0.57;0.57;0.558;0.558
transcript_4-17_ppan;0.986;0.986;0.986;0.974;0.974;0.896;0.896;0.896;1.0;1.0;0.987;0.987;0.549;0.549;0.549;0.535;0.535
transcript_5-17_ptro;0.986;0.986;0.986;0.974;0.974;0.896;0.896;0.896;1.0;1.0;0.987;0.987;0.549;0.549;0.549;0.535;0.535
transcript_4-22_ppan;0.974;0.974;0.974;0.961;0.961;0.885;0.885;0.885;0.987;0.987;1.0;1.0;0.537;0.537;0.537;0.523;0.523
transcript_5-22_ptro;0.974;0.974;0.974;0.961;0.961;0.885;0.885;0.885;0.987;0.987;1.0;1.0;0.537;0.537;0.537;0.523;0.523
transcript_4-10_ppan;0.562;0.562;0.562;0.569;0.569;0.57;0.57;0.57;0.549;0.549;0.537;0.537;1.0;1.0;1.0;0.978;0.978
transcript_5-10_ptro;0.562;0.562;0.562;0.569;0.569;0.57;0.57;0.57;0.549;0.549;0.537;0.537;1.0;1.0;1.0;0.978;0.978
transcript_6-10_hsap;0.562;0.562;0.562;0.569;0.569;0.57;0.57;0.57;0.549;0.549;0.537;0.537;1.0;1.0;1.0;0.978;0.978
transcript_4-18_ppan;0.549;0.549;0.549;0.556;0.556;0.558;0.558;0.558;0.535;0.535;0.523;0.523;0.978;0.978;0.978;1.0;1.0
transcript_5-18_ptro;0.549;0.549;0.549;0.556;0.556;0.558;0.558;0.558;0.535;0.535;0.523;0.523;0.978;0.978;0.978;1.0;1.0
