id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript_7-4_ENSMUSG00000036980;null;transcript_12-4_ENSDARG00000102998|1.0&transcript_3-4_FBgn0010417|1.0;transcript_8-4_ENSRNOG00000001355|1.0&transcript_11-4_ENSPTRG00000019474|1.0&transcript_10-4_ENSG00000106290|1.0;0
transcript_12-4_ENSDARG00000102998;null;transcript_7-4_ENSMUSG00000036980|1.0&transcript_3-4_FBgn0010417|1.0&transcript_8-4_ENSRNOG00000001355|1.0&transcript_11-4_ENSPTRG00000019474|1.0&transcript_10-4_ENSG00000106290|1.0;null;0
transcript_3-4_FBgn0010417;null;transcript_7-4_ENSMUSG00000036980|1.0&transcript_12-4_ENSDARG00000102998|1.0&transcript_8-4_ENSRNOG00000001355|1.0&transcript_11-4_ENSPTRG00000019474|1.0&transcript_10-4_ENSG00000106290|1.0;null;0
transcript_8-4_ENSRNOG00000001355;null;transcript_12-4_ENSDARG00000102998|1.0&transcript_3-4_FBgn0010417|1.0;transcript_7-4_ENSMUSG00000036980|1.0&transcript_11-4_ENSPTRG00000019474|1.0&transcript_10-4_ENSG00000106290|1.0;0
transcript_11-4_ENSPTRG00000019474;null;transcript_12-4_ENSDARG00000102998|1.0&transcript_3-4_FBgn0010417|1.0&transcript_10-4_ENSG00000106290|1.0;transcript_7-4_ENSMUSG00000036980|1.0&transcript_8-4_ENSRNOG00000001355|1.0;0
transcript_10-4_ENSG00000106290;null;transcript_12-4_ENSDARG00000102998|1.0&transcript_3-4_FBgn0010417|1.0&transcript_11-4_ENSPTRG00000019474|1.0;transcript_7-4_ENSMUSG00000036980|1.0&transcript_8-4_ENSRNOG00000001355|1.0;0
transcript_8-27_ENSRNOG00000001355;null;transcript_3-27_FBgn0010417|1.0;transcript_11-27_ENSPTRG00000019474|1.0&transcript_7-27_ENSMUSG00000036980|1.0&transcript_10-27_ENSG00000106290|1.0;1
transcript_11-27_ENSPTRG00000019474;null;transcript_3-27_FBgn0010417|1.0&transcript_10-27_ENSG00000106290|1.0;transcript_8-27_ENSRNOG00000001355|1.0&transcript_7-27_ENSMUSG00000036980|1.0;1
transcript_3-27_FBgn0010417;null;transcript_8-27_ENSRNOG00000001355|1.0&transcript_11-27_ENSPTRG00000019474|1.0&transcript_7-27_ENSMUSG00000036980|1.0&transcript_10-27_ENSG00000106290|1.0;null;1
transcript_7-27_ENSMUSG00000036980;null;transcript_3-27_FBgn0010417|1.0;transcript_8-27_ENSRNOG00000001355|1.0&transcript_11-27_ENSPTRG00000019474|1.0&transcript_10-27_ENSG00000106290|1.0;1
transcript_10-27_ENSG00000106290;null;transcript_11-27_ENSPTRG00000019474|1.0&transcript_3-27_FBgn0010417|1.0;transcript_8-27_ENSRNOG00000001355|1.0&transcript_7-27_ENSMUSG00000036980|1.0;1
transcript_3-43_FBgn0010417;null;null;null;2
transcript_12-27_ENSDARG00000102998;null;null;null;3
