id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript_4-5_ppan;null;transcript_6-5_hsap|1.0&transcript_5-5_ptro|1.0&transcript_7-5_ggor|1.0;null;0
transcript_6-5_hsap;null;transcript_4-5_ppan|1.0&transcript_5-5_ptro|1.0&transcript_7-5_ggor|1.0;null;0
transcript_5-5_ptro;null;transcript_4-5_ppan|1.0&transcript_6-5_hsap|1.0&transcript_7-5_ggor|1.0;null;0
transcript_7-5_ggor;null;transcript_4-5_ppan|1.0&transcript_6-5_hsap|1.0&transcript_5-5_ptro|1.0;null;0
transcript_4-12_ppan;transcript_4-21_ppan|1.0;transcript_5-21_ptro|1.0&transcript_5-12_ptro|1.0;null;1
transcript_6-12_hsap;transcript_6-38_hsap|1.0;transcript_5-21_ptro|1.0&transcript_5-12_ptro|1.0;null;1
transcript_5-21_ptro;transcript_5-12_ptro|1.0;transcript_4-12_ppan|1.0&transcript_6-12_hsap|1.0&transcript_4-21_ppan|1.0&transcript_6-38_hsap|1.0;null;1
transcript_4-21_ppan;transcript_4-12_ppan|1.0;transcript_5-21_ptro|1.0&transcript_5-12_ptro|1.0;null;1
transcript_6-38_hsap;transcript_6-12_hsap|1.0;transcript_5-21_ptro|1.0&transcript_5-12_ptro|1.0;null;1
transcript_5-12_ptro;transcript_5-21_ptro|1.0;transcript_4-12_ppan|1.0&transcript_6-12_hsap|1.0&transcript_4-21_ppan|1.0&transcript_6-38_hsap|1.0;null;1
transcript_5-26_ptro;transcript_5-23_ptro|1.0&transcript_5-14_ptro|1.0;transcript_4-26_ppan|1.0&transcript_6-14_hsap|1.0&transcript_4-23_ppan|1.0;null;2
transcript_4-26_ppan;transcript_4-23_ppan|1.0&transcript_4-14_ppan|1.0;transcript_5-26_ptro|1.0&transcript_6-14_hsap|1.0;null;2
transcript_5-23_ptro;transcript_5-26_ptro|1.0&transcript_5-14_ptro|1.0;transcript_4-14_ppan|1.0;null;2
transcript_6-14_hsap;null;transcript_5-26_ptro|1.0&transcript_4-26_ppan|1.0;null;2
transcript_5-14_ptro;transcript_5-26_ptro|1.0&transcript_5-23_ptro|1.0;transcript_4-14_ppan|1.0;null;2
transcript_4-23_ppan;transcript_4-26_ppan|1.0&transcript_4-14_ppan|1.0;transcript_5-26_ptro|1.0;null;2
transcript_4-14_ppan;transcript_4-26_ppan|1.0&transcript_4-23_ppan|1.0;transcript_5-23_ptro|1.0&transcript_5-14_ptro|1.0;null;2
